03066,"03,07,08,20,24,32",14,0:1:5,2:2:2,4:2:0,2:1:3,2:1:3,3:3,2:4,2:4
03067,"05,11,12,13,27,31",10,0:0:6,4:1:1,5:1:0,2:2:2,2:2:2,2:4,5:1,4:2
03068,"09,19,25,27,32,33",11,1:1:4,3:2:1,4:1:1,4:1:1,3:2:1,5:1,5:1,1:5
03069,"07,11,16,19,26,28",11,1:1:4,4:0:2,3:2:1,2:2:2,0:4:2,3:3,3:3,3:3
03070,"01,02,04,17,18,19",08,1:0:5,3:1:2,3:2:1,0:3:3,1:3:2,3:3,3:3,4:2
03071,"09,11,12,14,15,33",11,0:1:5,1:2:3,6:0:0,1:3:2,4:0:2,1:5,4:2,1:5
03072,"03,06,08,11,19,27",11,1:1:4,1:4:1,4:1:1,1:1:4,3:1:2,2:4,4:2,3:3
03073,"02,12,14,21,23,30",13,0:2:4,3:1:2,4:2:0,2:3:1,3:0:3,3:3,2:4,2:4
03074,"02,12,19,22,27,32",01,2:2:2,1:3:2,3:1:2,2:3:1,2:2:2,4:2,2:4,2:4
03075,"16,17,19,22,31,33",11,2:0:4,2:2:2,2:2:2,2:4:0,1:4:1,5:1,4:2,3:3
03076,"01,13,16,18,20,29",02,1:0:5,5:0:1,3:2:1,1:4:1,1:3:2,3:3,3:3,3:3
03077,"04,12,16,22,24,25",06,1:1:4,3:2:1,4:1:1,2:3:1,2:4:0,3:3,1:5,0:6
03078,"07,12,23,26,29,30",11,1:1:4,5:1:0,3:2:1,4:1:1,2:1:3,4:2,3:3,3:3
03079,"12,15,22,23,26,31",04,3:1:2,2:2:2,1:2:3,3:3:0,2:2:2,4:2,3:3,2:4
03080,"09,20,24,25,28,30",10,0:1:5,5:0:1,3:3:0,4:1:1,3:2:1,5:1,2:4,0:6
03081,"01,02,14,26,29,30",07,1:1:4,1:1:4,3:2:1,3:1:2,1:1:4,3:3,2:4,3:3
03082,"07,17,18,19,30,31",14,1:0:5,3:2:1,4:1:1,2:3:1,2:3:1,5:1,4:2,4:2
03083,"01,03,14,18,26,28",01,1:3:2,2:1:3,5:0:1,2:2:2,2:2:2,3:3,2:4,2:4
03084,"02,06,07,10,17,33",03,0:2:4,3:0:3,4:2:0,1:1:4,2:2:2,2:4,3:3,3:3
03085,"01,04,11,12,19,27",14,0:1:5,3:2:1,4:2:0,1:2:3,2:3:1,2:4,4:2,3:3
